"","model","npar","AIC","DeltaAIC","weight","neg2lnl","convergence"
"5","Phi(~Geschlecht)p(~Initials)",15,4553.99286669003,0,0.999996511111002,4523.99286669003,0
"2","Phi(~1)p(~Initials)",13,4579.14435519421,25.1514885041797,3.45479394911427e-06,4553.14435519421,0
"3","Phi(~1)p(~Geschlecht)",4,4588.88919743285,34.8963307428257,2.64457899800261e-08,4580.88919743285,0
"6","Phi(~Geschlecht)p(~Geschlecht)",6,4591.50878660261,37.5159199125837,7.137070455174e-09,4579.50878660261,0
"4","Phi(~Geschlecht)p(~1)",4,4596.77752420015,42.7846575101194,5.12186528399486e-10,4588.77752420015,0
"1","Phi(~1)p(~1)",2,4621.51431107948,67.5214443894511,2.17722408804737e-15,4617.51431107948,0
"21","Phi(~Geschlecht)p(~time)",26,4558.10415332197,0,0.999994718845304,4506.10415332197,0
"11","Phi(~1)p(~time)",24,4582.69978830475,24.5956349827775,4.56166544223502e-06,4534.69978830475,0
"31","Phi(~time)p(~time)",46,4586.39359125322,28.2894379312474,7.19489253503511e-07,4494.39359125322,0
"22","Phi(~time)p(~Initials)",35,4538.63933207775,0,0.831547979023774,4468.63933207775,0
"32","Phi(~time)p(~Geschlecht)",26,4541.83260825208,3.19327617432918,0.168452011595347,4489.83260825208,0
"12","Phi(~time)p(~1)",24,4575.23958431798,36.600252240235,9.38087869923538e-09,4527.23958431798,0
"23","Phi(~Geschlecht)p(~year)",27,4607.01510389857,0,0.999983857292587,4553.01510389857,0
"13","Phi(~1)p(~year)",25,4629.12213061766,22.1070267190944,1.58311743396532e-05,4579.12213061766,0
"33","Phi(~year)p(~year)",48,4636.97859227521,29.9634883766403,3.11533072950876e-07,4540.97859227521,0
"14","Phi(~1)p(~Temp)",136,3558.5126267411,0,1,3286.5126267411,0
"15","Phi(~Temp)p(~1)",136,3606.58353018941,0,1,3334.58353018941,0
"16","Phi(~Geschlecht * Temp)p(~1)",267,3682.20035720787,0,1,3148.20035720787,0
