"","model","npar","AIC","DeltaAIC","weight","neg2lnl","convergence"
"3","Phi(~1)p(~Geschlecht)",4,1306.55009421401,0,0.616869663843621,1298.55009421401,0
"6","Phi(~Geschlecht)p(~Geschlecht)",6,1307.50430662807,0.954212414051881,0.382814888622352,1295.50430662807,0
"4","Phi(~Geschlecht)p(~1)",4,1322.82349301083,16.2733987968177,0.000180496906734205,1314.82349301083,0
"5","Phi(~Geschlecht)p(~Initials)",14,1323.40527143701,16.8551772229919,0.000134939216288716,1295.40527143701,0
"2","Phi(~1)p(~Initials)",12,1342.2919977916,35.7419035775831,1.06890144699985e-08,1318.2919977916,0
"1","Phi(~1)p(~1)",2,1347.68192033072,41.1318261167032,7.21989458550716e-10,1343.68192033072,0
"21","Phi(~Geschlecht)p(~time)",26,1275.11653316729,0,0.998550453644254,1223.11653316729,0
"31","Phi(~time)p(~time)",46,1288.19470973619,13.0781765689082,0.00144371029926254,1196.19470973619,0
"11","Phi(~1)p(~time)",24,1299.21654246918,24.1000093018909,5.83605648338005e-06,1251.21654246918,0
"32","Phi(~time)p(~Geschlecht)",26,1265.04960432954,0,0.999999999948689,1213.04960432954,0
"12","Phi(~time)p(~1)",24,1313.22568478993,48.1760804603844,3.45698144201484e-11,1265.22568478993,0
"22","Phi(~time)p(~Initials)",34,1314.67591713072,49.6263128011747,1.67410655387369e-11,1246.67591713072,0
"23","Phi(~Geschlecht)p(~year)",27,1324.09591127512,0,0.999997455965954,1270.09591127512,0
"13","Phi(~1)p(~year)",25,1350.98153451687,26.8856232417522,1.45164354385424e-06,1300.98153451687,0
"33","Phi(~year)p(~year)",48,1351.55019047094,27.4542791958229,1.09239050205821e-06,1255.55019047094,0
"14","Phi(~1)p(~Temp)",73,994.869969707695,0,1,848.869969707695,0
"15","Phi(~Temp)p(~1)",73,996.363962696513,0,1,850.363962696513,0
"16","Phi(~Geschlecht * Temp)p(~1)",171,1101.91502812394,0,1,759.915028123938,0
