"","model","npar","AIC","DeltaAIC","weight","neg2lnl","convergence"
"5","Phi(~Geschlecht)p(~Initials)",16,5655.93776193743,0,0.973349406679644,5623.93776193743,0
"3","Phi(~1)p(~Geschlecht)",4,5663.44365050075,7.50588856331524,0.0228236855924591,5655.44365050075,0
"6","Phi(~Geschlecht)p(~Geschlecht)",6,5667.01513398773,11.0773720503021,0.00382690772668982,5655.01513398773,0
"4","Phi(~Geschlecht)p(~1)",4,5710.79095680721,54.8531948697791,1.19412239993731e-12,5702.79095680721,0
"2","Phi(~1)p(~Initials)",14,5719.77095799684,63.8331960594087,1.33988141449332e-14,5691.77095799684,0
"1","Phi(~1)p(~1)",2,5790.35021600147,134.412454064041,6.32375766669658e-30,5786.35021600147,0
"21","Phi(~Geschlecht)p(~time)",26,5580.00261046486,0,0.99999999999999,5528.00261046486,0
"31","Phi(~time)p(~time)",46,5644.37649634891,64.373885884047,1.05048121574695e-14,5552.37649634891,0
"11","Phi(~1)p(~time)",24,5655.83410505127,75.8314945864095,3.41507442961351e-17,5607.83410505127,0
"32","Phi(~time)p(~Geschlecht)",26,5559.27757507557,0,0.999999999998805,5507.27757507557,0
"22","Phi(~time)p(~Initials)",36,5614.18293314032,54.9053580647515,1.19523412124215e-12,5542.18293314032,0
"12","Phi(~time)p(~1)",24,5680.14173544135,120.864160365774,5.68435308806435e-27,5632.14173544135,0
"23","Phi(~Geschlecht)p(~year)",27,5708.2445877423,0,0.999999999999309,5654.2445877423,0
"33","Phi(~year)p(~year)",48,5764.24552837712,56.0009406348245,6.91114890877744e-13,5668.24552837712,0
"13","Phi(~1)p(~year)",25,5783.67821731821,75.4336295759176,4.16673098924285e-17,5733.67821731821,0
"14","Phi(~1)p(~Temp)",86,4461.59639198677,0,1,4289.59639198677,0
"15","Phi(~Temp)p(~1)",86,4482.0404347019,0,1,4310.0404347019,0
"16","Phi(~Geschlecht * Temp)p(~1)",208,4477.57196675489,0,1,4061.57196675489,0
