"","model","npar","AIC","DeltaAIC","weight","neg2lnl","convergence"
"5","Phi(~Geschlecht)p(~Initials)",10,276.93453539593,0,0.498202100969179,256.93453539593,0
"6","Phi(~Geschlecht)p(~Geschlecht)",4,277.422085793618,0.487550397687755,0.390422943137742,269.422085793618,0
"2","Phi(~1)p(~Initials)",9,280.204399906775,3.26986451084446,0.0971322609313002,262.204399906775,0
"4","Phi(~Geschlecht)p(~1)",3,284.159756354097,7.22522095816674,0.0134421506494788,278.159756354097,0
"1","Phi(~1)p(~1)",2,290.574321045873,13.6397856499427,0.000543955952522492,286.574321045873,0
"3","Phi(~1)p(~Geschlecht)",3,292.077111418068,15.1425760221377,0.000256588359777189,286.077111418068,0
"21","Phi(~Geschlecht)p(~time)",25,242.917717738493,0,0.916989496800884,192.917717738493,0
"11","Phi(~1)p(~time)",24,247.72202189629,4.8043041577973,0.0830085769680252,199.72202189629,0
"31","Phi(~time)p(~time)",46,269.064289750766,26.146572012273,1.92623109108658e-06,177.064289750766,0
"22","Phi(~time)p(~Initials)",31,269.753277709367,0,0.949684673113866,207.753277709367,0
"12","Phi(~time)p(~1)",24,276.354866664327,6.60158895496011,0.034999561364844,228.354866664327,0
"32","Phi(~time)p(~Geschlecht)",25,278.007772274079,8.25449456471216,0.0153157655212904,228.007772274079,0
"23","Phi(~Geschlecht)p(~year)",25,302.759901681359,0,0.972090253058694,252.759901681359,0
"13","Phi(~1)p(~year)",24,309.860851886278,7.10095020491849,0.0279096791229033,261.860851886278,0
"33","Phi(~year)p(~year)",46,335.716152947963,32.9562512666039,6.78184022512219e-08,243.716152947963,0
"14","Phi(~1)p(~Temp)",56,323.810769402879,0,1,211.810769402879,0
"15","Phi(~Temp)p(~1)",56,320.398220156628,0,1,208.398220156628,0
"16","Phi(~Geschlecht * Temp)p(~1)",86,372.447862978777,0,1,200.447862978777,0
