"","model","npar","AIC","DeltaAIC","weight","neg2lnl","convergence"
"5","Phi(~Geschlecht)p(~Initials)",13,364.537983011823,0,0.905994091235352,338.537983011823,0
"2","Phi(~1)p(~Initials)",11,369.073393675247,4.53541066342393,0.0938152527900296,347.073393675247,0
"6","Phi(~Geschlecht)p(~Geschlecht)",6,382.41618836651,17.8782053546865,0.000118828988231428,370.41618836651,0
"4","Phi(~Geschlecht)p(~1)",4,384.253304183497,19.7153211716738,4.74239548371039e-05,376.253304183497,0
"3","Phi(~1)p(~Geschlecht)",4,386.194599170375,21.6566161585512,1.79659802572801e-05,378.194599170375,0
"1","Phi(~1)p(~1)",2,388.247418015445,23.7094350036216,6.43705129219838e-06,384.247418015445,0
"21","Phi(~Geschlecht)p(~time)",26,359.445584443487,0,0.882867332663524,307.445584443487,0
"11","Phi(~1)p(~time)",24,363.485327527544,4.03974308405765,0.117132222219768,315.485327527544,0
"31","Phi(~time)p(~time)",46,388.44628241621,29.0006979727237,4.45116708816711e-07,296.44628241621,0
"22","Phi(~time)p(~Initials)",33,370.171251405124,0,0.956688350212412,304.171251405124,0
"32","Phi(~time)p(~Geschlecht)",26,377.520442972431,7.34919156730729,0.0242612857749259,325.520442972431,0
"12","Phi(~time)p(~1)",24,378.004034356903,7.83278295177917,0.019050364012662,330.004034356903,0
"23","Phi(~Geschlecht)p(~year)",26,400.394483434048,0,0.801628743140122,348.394483434048,0
"13","Phi(~1)p(~year)",24,403.187495030638,2.79301159658957,0.198371153497861,355.187495030638,0
"33","Phi(~year)p(~year)",46,432.122320628588,31.7278371945393,1.03362016320946e-07,340.122320628588,0
"14","Phi(~1)p(~Temp)",55,323.448759404465,0,1,213.448759404465,0
"15","Phi(~Temp)p(~1)",55,315.919737568324,0,1,205.919737568324,0
"16","Phi(~Geschlecht * Temp)p(~1)",112,416.685763187971,0,1,192.685763187971,0
