"","model","npar","AIC","DeltaAIC","weight","neg2lnl","convergence"
"4","Phi(~Geschlecht)p(~1)",4,572.112707795801,0,0.594160068806954,564.112707795801,0
"5","Phi(~Geschlecht)p(~Initials)",13,573.906648340993,1.79394054519207,0.242300450375046,547.906648340993,0
"6","Phi(~Geschlecht)p(~Geschlecht)",6,575.176513589648,3.06380579384665,0.128412259059949,563.176513589648,0
"3","Phi(~1)p(~Geschlecht)",4,577.769218473439,5.65651067763815,0.0351243077876793,569.769218473439,0
"2","Phi(~1)p(~Initials)",11,597.050912573189,24.9382047773875,2.28371076721292e-06,575.050912573189,0
"1","Phi(~1)p(~1)",2,599.625762821721,27.51305502592,6.30259603887392e-07,595.625762821721,0
"21","Phi(~Geschlecht)p(~time)",26,540.102951528103,0,0.99999975344708,488.102951528103,0
"11","Phi(~1)p(~time)",24,570.53436624297,30.4314147148669,2.465483777778e-07,522.53436624297,0
"31","Phi(~time)p(~time)",46,592.338075476243,52.23512394814,4.5424153922621e-12,500.338075476243,0
"32","Phi(~time)p(~Geschlecht)",26,559.254693714294,0,0.999995647596895,507.254693714294,0
"22","Phi(~time)p(~Initials)",33,584.697505105927,25.4428113916326,2.98649515155605e-06,518.697505105927,0
"12","Phi(~time)p(~1)",24,586.262067374964,27.0073736606702,1.36590795391825e-06,538.262067374964,0
"23","Phi(~Geschlecht)p(~year)",26,586.852263086186,0,0.99999635875837,534.852263086186,0
"13","Phi(~1)p(~year)",24,611.898629062247,25.0463659760611,3.64123870993573e-06,563.898629062247,0
"33","Phi(~year)p(~year)",46,639.970711727322,53.1184486411363,2.92061191457668e-12,547.970711727322,0
"14","Phi(~1)p(~Temp)",77,494.20359966887,0,1,340.20359966887,0
"15","Phi(~Temp)p(~1)",77,497.366297606979,0,1,343.366297606979,0
"16","Phi(~Geschlecht * Temp)p(~1)",172,635.446918438129,0,1,291.446918438129,0
