"","model","npar","AIC","DeltaAIC","weight","neg2lnl","convergence","taxa"
"4","Phi(~Geschlecht)p(~1)",4,572.112707795801,0,0.594160068806954,564.112707795801,0,"Fitis"
"5","Phi(~Geschlecht)p(~Initials)",13,573.906648340993,1.79394054519207,0.242300450375046,547.906648340993,0,"Fitis"
"6","Phi(~Geschlecht)p(~Geschlecht)",6,575.176513589648,3.06380579384665,0.128412259059949,563.176513589648,0,"Fitis"
"3","Phi(~1)p(~Geschlecht)",4,577.769218473439,5.65651067763815,0.0351243077876793,569.769218473439,0,"Fitis"
"2","Phi(~1)p(~Initials)",11,597.050912573189,24.9382047773875,2.28371076721292e-06,575.050912573189,0,"Fitis"
"1","Phi(~1)p(~1)",2,599.625762821721,27.51305502592,6.30259603887392e-07,595.625762821721,0,"Fitis"
"21","Phi(~1)p(~Initials)",16,6369.37533609637,0,0.609919494882673,6337.37533609637,0,"Gartengrasmücke"
"51","Phi(~Geschlecht)p(~Initials)",18,6370.26928375969,0.893947663313156,0.390080505117319,6334.26928375969,0,"Gartengrasmücke"
"11","Phi(~1)p(~1)",2,6435.23707372356,65.8617376271868,3.0449341496301e-15,6431.23707372356,0,"Gartengrasmücke"
"31","Phi(~1)p(~Geschlecht)",4,6435.4181131204,66.0427770240249,2.78141440409955e-15,6427.4181131204,0,"Gartengrasmücke"
"41","Phi(~Geschlecht)p(~1)",4,6436.33105505261,66.9557189562374,1.76206886585865e-15,6428.33105505261,0,"Gartengrasmücke"
"61","Phi(~Geschlecht)p(~Geschlecht)",6,6439.41210103867,70.0367649422915,3.77556753059819e-16,6427.41210103867,0,"Gartengrasmücke"
"52","Phi(~Geschlecht)p(~Initials)",16,5655.93776193743,0,0.973349406679644,5623.93776193743,0,"Schilfrohrsänger"
"32","Phi(~1)p(~Geschlecht)",4,5663.44365050075,7.50588856331524,0.0228236855924591,5655.44365050075,0,"Schilfrohrsänger"
"62","Phi(~Geschlecht)p(~Geschlecht)",6,5667.01513398773,11.0773720503021,0.00382690772668982,5655.01513398773,0,"Schilfrohrsänger"
"42","Phi(~Geschlecht)p(~1)",4,5710.79095680721,54.8531948697791,1.19412239993731e-12,5702.79095680721,0,"Schilfrohrsänger"
"22","Phi(~1)p(~Initials)",14,5719.77095799684,63.8331960594087,1.33988141449332e-14,5691.77095799684,0,"Schilfrohrsänger"
"12","Phi(~1)p(~1)",2,5790.35021600147,134.412454064041,6.32375766669658e-30,5786.35021600147,0,"Schilfrohrsänger"
"23","Phi(~1)p(~Initials)",9,140.504329903371,0,0.662004563068322,122.504329903371,0,"Drosselrohrsänger"
"53","Phi(~Geschlecht)p(~Initials)",11,143.873861617642,3.36953171427189,0.122793808078685,121.873861617642,0,"Drosselrohrsänger"
"33","Phi(~1)p(~Geschlecht)",4,144.362369779271,3.85803987590032,0.0961829888366713,136.362369779271,0,"Drosselrohrsänger"
"13","Phi(~1)p(~1)",2,145.149719065028,4.64538916165725,0.0648824952114495,141.149719065028,0,"Drosselrohrsänger"
"43","Phi(~Geschlecht)p(~1)",4,146.070239323427,5.56590942005641,0.0409486047933217,138.070239323427,0,"Drosselrohrsänger"
"63","Phi(~Geschlecht)p(~Geschlecht)",6,148.336329910336,7.83200000696561,0.0131875400115504,136.336329910336,0,"Drosselrohrsänger"
"54","Phi(~Geschlecht)p(~Initials)",12,449.283472975224,0,0.877114401737518,425.283472975224,0,"Teichrohrsänger"
"24","Phi(~1)p(~Initials)",10,453.251458040194,3.96798506497072,0.120619974674096,433.251458040194,0,"Teichrohrsänger"
"64","Phi(~Geschlecht)p(~Geschlecht)",6,462.120800892473,12.8373279172493,0.00143042767347559,450.120800892473,0,"Teichrohrsänger"
"34","Phi(~1)p(~Geschlecht)",4,463.777418713247,14.4939457380234,0.000624792653637764,455.777418713247,0,"Teichrohrsänger"
"44","Phi(~Geschlecht)p(~1)",4,466.151817104905,16.868344129681,0.000190608320532104,458.151817104905,0,"Teichrohrsänger"
"14","Phi(~1)p(~1)",2,470.681405620517,21.3979326452937,1.97949407402129e-05,466.681405620517,0,"Teichrohrsänger"
"45","Phi(~Geschlecht)p(~1)",4,132.97020874687,0,0.460883582453665,124.97020874687,0,"Rohrschwirl"
"35","Phi(~1)p(~Geschlecht)",4,133.717134285926,0.74692553905561,0.317247653102359,125.717134285926,0,"Rohrschwirl"
"55","Phi(~Geschlecht)p(~Initials)",14,135.204848958245,2.23464021137519,0.150780535570801,107.204848958245,0,"Rohrschwirl"
"65","Phi(~Geschlecht)p(~Geschlecht)",6,136.892592010807,3.92238326393695,0.0648420197734984,124.892592010807,0,"Rohrschwirl"
"15","Phi(~1)p(~1)",2,142.107519924535,9.13731117766511,0.00478023586598302,138.107519924535,0,"Rohrschwirl"
"25","Phi(~1)p(~Initials)",12,144.471461013314,11.5012522664435,0.00146597323369416,120.471461013314,0,"Rohrschwirl"
"56","Phi(~Geschlecht)p(~Initials)",15,4553.99286669003,0,0.999996511111002,4523.99286669003,0,"Bartmeise"
"26","Phi(~1)p(~Initials)",13,4579.14435519421,25.1514885041797,3.45479394911427e-06,4553.14435519421,0,"Bartmeise"
"36","Phi(~1)p(~Geschlecht)",4,4588.88919743285,34.8963307428257,2.64457899800261e-08,4580.88919743285,0,"Bartmeise"
"66","Phi(~Geschlecht)p(~Geschlecht)",6,4591.50878660261,37.5159199125837,7.137070455174e-09,4579.50878660261,0,"Bartmeise"
"46","Phi(~Geschlecht)p(~1)",4,4596.77752420015,42.7846575101194,5.12186528399486e-10,4588.77752420015,0,"Bartmeise"
"16","Phi(~1)p(~1)",2,4621.51431107948,67.5214443894511,2.17722408804737e-15,4617.51431107948,0,"Bartmeise"
"37","Phi(~1)p(~Geschlecht)",4,137.489856979342,0,0.310196976175362,129.489856979342,0,"Blaumeise"
"67","Phi(~Geschlecht)p(~Geschlecht)",6,137.562452957759,0.0725959784163024,0.299139348555033,125.562452957759,0,"Blaumeise"
"47","Phi(~Geschlecht)p(~1)",4,138.507356318686,1.01749933934329,0.186504959838634,130.507356318686,0,"Blaumeise"
"17","Phi(~1)p(~1)",2,139.140704363778,1.65084738443542,0.135881585348497,135.140704363778,0,"Blaumeise"
"27","Phi(~1)p(~Initials)",11,140.937806102717,3.44794912337434,0.055325445649463,118.937806102717,0,"Blaumeise"
"57","Phi(~Geschlecht)p(~Initials)",13,143.841820281296,6.35196330195345,0.0129516844330124,117.841820281296,0,"Blaumeise"
