"","bird","species","genus","family","clr"
"6","Fitis","Phylloscopus trochilus","Phylloscopus","Phylloscopidae","darkblue"
"8","Gartengrasmücke","Sylvia borin","Sylvia","Sylviidae","darkcyan"
"11","Schilfrohrsänger","Acrocephalus schoenobaenus","Acrocephalus","Acrocephalidae","dodgerblue"
"10","Drosselrohrsänger","Acrocephalus arundinaceus","Acrocephalus","Acrocephalidae","deepskyblue"
"2","Teichrohrsänger","Acrocephalus scirpaceus","Acrocephalus","Acrocephalidae","deepskyblue4"
"4","Rohrschwirl","Locustella luscinioides","Locustella","Locustellidae","cyan"
"1","Bartmeise","Panurus biarmicus","Panurus","Panuridae","blueviolet"
"3","Blaumeise","Cyanistes caeruleus","Cyanistes","Paridae","orchid"
"12","Weißsterniges Blaukehlchen","Luscinia svecica cyanecula","Luscinia","Muscicapidae","darkorange"
"13","Amsel","Turdus merula","Turdus","Turdidae","red"
"5","Feldsperling","Passer montanus","Passer","Passeridae","yellow"
"9","Goldammer","Emberiza citrinella","Emberiza","Emberizidae","orange"
"7","Rohrammer","Emberiza schoeniclus","Emberiza","Emberizidae","gold"
