"","Ring_Inschrift","Fundtyp","Artbezeichnung deutsch","Ortsbezeichnung","Datum","Beobachter","Altersdefinition","Bemerkung","Geschlecht","date","year","month","day","Gewicht_num_min","Fluegellaenge_num_min","Teilfederlaenge_num_min"
"1","PA95693","Wiederfund","Bartmeise","Rietzer See","16.07.2005 00:00:00","Binder, Henrik","Adult",NA,"weiblich",2005-07-16,2005,7,16,16,61,4.4
"2","VD29107","Wiederfund","Bartmeise","Rietzer See","15.07.2005 17:00:00","Binder, Henrik","Adult",NA,"männlich",2005-07-15,2005,7,15,14,62,4.5
"3","VD29107","Wiederfund","Bartmeise","Rietzer See","16.07.2005 07:00:00","Binder, Henrik","Adult","EWF:1710","männlich",2005-07-16,2005,7,16,14,62,4.5
"4","VD55387","Wiederfund","Bartmeise","Rietzer See","15.07.2005 00:00:00","Binder, Henrik","Adult",NA,"männlich",2005-07-15,2005,7,15,14.5,56,4.4
"5","VD55387","Wiederfund","Bartmeise","Rietzer See","15.07.2005 21:00:00","Binder, Henrik","Adult","EWF:1710","männlich",2005-07-15,2005,7,15,14.5,56,4.4
"6","VD75489","Wiederfund","Bartmeise","Rietzer See","15.07.2005 00:00:00","Binder, Henrik","Adult",NA,"weiblich",2005-07-15,2005,7,15,13.5,56,4.4
"7","VD64131","Wiederfund","Bartmeise","Rietzer See","26.04.2003 08:00:00","Binder, Henrik","Adult",NA,"weiblich",2003-04-26,2003,4,26,15,59,4.6
"8","VC45573","Wiederfund","Teichrohrsänger","Rietzer See","16.07.2005 00:00:00","Binder, Henrik","Adult",NA,"unbekannt",2005-07-16,2005,7,16,12,50,5.1
"9","VD29373","Wiederfund","Teichrohrsänger","Rietzer See","16.07.2005 00:00:00","Binder, Henrik","Adult",NA,"unbekannt",2005-07-16,2005,7,16,11.5,69,5.3
"10","VD70136","Beringung","Teichrohrsänger","Rietzer See","15.07.2005 17:00:00","Binder, Henrik","Adult","FETT=;2;MAUSER=;/;EINKERBUNG;","weiblich",2005-07-15,2005,7,15,12.5,69,51.5
"11","VD70137","Beringung","Teichrohrsänger","Rietzer See","15.07.2005 18:00:00","Binder, Henrik","Adult","FETT=;3;MAUSER=;/;EINKERBUNG;","weiblich",2005-07-15,2005,7,15,12,67,50.5
"12","ZD91906","Beringung","Bartmeise","Rietzer See","29.04.2011 19:00:00","Binder, Henrik","Adult","FETT= 3; MAUSER= 1","männlich",2011-04-29,2011,4,29,6.1,61.5,41
"13","ZB22626","Beringung","Bartmeise","Rietzer See","27.09.2008 11:00:00","Binder, Henrik","Adult","FETT=;2;MAUSER=;/","männlich",2008-09-27,2008,9,27,16.2,64,41
"14","ZB22538","Beringung","Bartmeise","Rietzer See","14.07.2007 06:00:00","Binder, Henrik","Adult","FETT=1;MAUSER=1;HS;1-10;ALT","männlich",2007-07-14,2007,7,14,16.5,60,41.5
