"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1M_T2M","6265","2004-05-01","12.46","4","10",
"OBS_DEU_P1M_T2M","6265","2004-06-01","15.65","4","10",
"OBS_DEU_P1M_T2M","6265","2004-07-01","17.32","4","10",
"OBS_DEU_P1M_T2M","6265","2004-08-01","19.6","4","10",
"OBS_DEU_P1M_T2M","6265","2004-09-01","14.54","4","10",
"OBS_DEU_P1M_T2M","6265","2004-10-01","10.44","4","10",
"OBS_DEU_P1M_T2M","6265","2004-11-01","4.91","4","10",
"OBS_DEU_P1M_T2M","6265","2004-12-01","2.41","4","10",
"OBS_DEU_P1M_T2M","6265","2005-01-01","3.29","4","10",
"OBS_DEU_P1M_T2M","6265","2005-02-01","0","4","10",
"OBS_DEU_P1M_T2M","6265","2005-03-01","4","4","10",
"OBS_DEU_P1M_T2M","6265","2005-04-01","9.88","4","10",
"OBS_DEU_P1M_T2M","6265","2005-05-01","13.68","4","10",
"OBS_DEU_P1M_T2M","6265","2005-06-01","16.7","4","10",
"OBS_DEU_P1M_T2M","6265","2005-07-01","18.83","4","10",
"OBS_DEU_P1M_T2M","6265","2005-08-01","16.56","4","10",
"OBS_DEU_P1M_T2M","6265","2005-09-01","15.55","4","10",
"OBS_DEU_P1M_T2M","6265","2005-10-01","11.68","4","10",
"OBS_DEU_P1M_T2M","6265","2005-11-01","5.19","4","10",
"OBS_DEU_P1M_T2M","6265","2005-12-01","1.65","4","10",
"OBS_DEU_P1M_T2M","6265","2006-01-01","-3.08","4","10",
"OBS_DEU_P1M_T2M","6265","2006-02-01","0.02","4","10",
"OBS_DEU_P1M_T2M","6265","2006-03-01","1.59","4","10",
"OBS_DEU_P1M_T2M","6265","2006-04-01","8.85","4","10",
"OBS_DEU_P1M_T2M","6265","2006-05-01","13.98","4","10",
"OBS_DEU_P1M_T2M","6265","2006-06-01","17.47","4","10",
"OBS_DEU_P1M_T2M","6265","2006-07-01","23.26","4","10",
"OBS_DEU_P1M_T2M","6265","2006-08-01","17.31","4","10",
"OBS_DEU_P1M_T2M","6265","2006-09-01","18.44","4","10",
"OBS_DEU_P1M_T2M","6265","2006-10-01","12.84","4","10",
"OBS_DEU_P1M_T2M","6265","2006-11-01","7.98","4","10",
"OBS_DEU_P1M_T2M","6265","2006-12-01","5.87","4","10",
"OBS_DEU_P1M_T2M","6265","2007-01-01","5.64","4","10",
"OBS_DEU_P1M_T2M","6265","2007-02-01","4.19","4","10",
"OBS_DEU_P1M_T2M","6265","2007-03-01","7.5","4","10",
"OBS_DEU_P1M_T2M","6265","2007-04-01","11.38","4","10",
"OBS_DEU_P1M_T2M","6265","2007-05-01","15.26","4","10",
"OBS_DEU_P1M_T2M","6265","2007-06-01","18.55","4","10",
"OBS_DEU_P1M_T2M","6265","2007-07-01","18.47","4","10",
"OBS_DEU_P1M_T2M","6265","2007-08-01","18.05","4","10",
"OBS_DEU_P1M_T2M","6265","2007-09-01","13.77","4","10",
"OBS_DEU_P1M_T2M","6265","2007-10-01","8.65","4","10",
"OBS_DEU_P1M_T2M","6265","2007-11-01","4.36","4","10",
"OBS_DEU_P1M_T2M","6265","2007-12-01","2.55","4","10",
"OBS_DEU_P1M_T2M","6265","2008-01-01","4.55","4","10",
"OBS_DEU_P1M_T2M","6265","2008-02-01","4.76","4","10",
"OBS_DEU_P1M_T2M","6265","2008-03-01","5","4","10",
"OBS_DEU_P1M_T2M","6265","2008-04-01","8.54","4","10",
"OBS_DEU_P1M_T2M","6265","2008-05-01","15.29","4","10",
"OBS_DEU_P1M_T2M","6265","2008-06-01","18.15","4","10",
"OBS_DEU_P1M_T2M","6265","2008-07-01","19.33","4","10",
"OBS_DEU_P1M_T2M","6265","2008-08-01","18.55","4","10",
"OBS_DEU_P1M_T2M","6265","2008-09-01","13.59","4","10",
"OBS_DEU_P1M_T2M","6265","2008-10-01","10.01","4","10",
"OBS_DEU_P1M_T2M","6265","2008-11-01","6.02","4","10",
"OBS_DEU_P1M_T2M","6265","2008-12-01","1.85","4","10",
